127.0.0.1, 2014-08-20 12:22:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000360
127.0.0.1, 2014-08-20 12:22:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000172
127.0.0.1, 2014-08-20 12:22:38, GET, /welcome/default/, HTTP/1.1, 200, 0.012397
127.0.0.1, 2014-08-20 12:22:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2014-08-20 12:22:45, GET, /welcome/default/, HTTP/1.1, 200, 0.009270
127.0.0.1, 2014-08-20 12:22:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000271
127.0.0.1, 2014-08-20 12:22:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2014-08-20 12:22:58, GET, /welcome/default/, HTTP/1.1, 200, 0.009612
127.0.0.1, 2014-08-20 12:22:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000544
127.0.0.1, 2014-08-20 12:22:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000393
127.0.0.1, 2014-08-20 12:23:11, GET, /welcome/default/, HTTP/1.1, 200, 0.013048
127.0.0.1, 2014-08-20 12:23:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000433
127.0.0.1, 2014-08-20 12:28:22, GET, /welcome/default/, HTTP/1.1, 200, 0.012213
127.0.0.1, 2014-08-20 12:28:22, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000263
127.0.0.1, 2014-08-20 12:28:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000621
127.0.0.1, 2014-08-20 12:28:28, GET, /welcome/default/, HTTP/1.1, 200, 0.010899
127.0.0.1, 2014-08-20 12:28:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000426
127.0.0.1, 2014-08-20 12:28:42, GET, /welcome/default/, HTTP/1.1, 200, 0.026493
127.0.0.1, 2014-08-20 12:28:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001060
127.0.0.1, 2014-08-20 12:29:00, GET, /welcome/default/, HTTP/1.1, 200, 0.013037
127.0.0.1, 2014-08-20 12:29:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2014-08-20 12:29:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000299
127.0.0.1, 2014-08-20 12:29:03, GET, /welcome/default/, HTTP/1.1, 200, 0.010633
127.0.0.1, 2014-08-20 12:29:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000614
127.0.0.1, 2014-08-20 12:29:05, GET, /welcome/default/, HTTP/1.1, 200, 0.009156
127.0.0.1, 2014-08-20 12:29:05, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000270
127.0.0.1, 2014-08-20 12:29:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000195
127.0.0.1, 2014-08-20 12:29:08, GET, /welcome/default/, HTTP/1.1, 200, 0.020315
127.0.0.1, 2014-08-20 12:29:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000773
127.0.0.1, 2014-08-20 12:29:11, GET, /welcome/default/, HTTP/1.1, 200, 0.009445
127.0.0.1, 2014-08-20 12:29:11, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000267
127.0.0.1, 2014-08-20 12:29:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000171
127.0.0.1, 2014-08-20 12:29:14, GET, /welcome/default/, HTTP/1.1, 200, 0.012499
127.0.0.1, 2014-08-20 12:29:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000224
127.0.0.1, 2014-08-20 12:29:29, GET, /welcome/default/, HTTP/1.1, 200, 0.010705
127.0.0.1, 2014-08-20 12:29:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2014-08-20 12:29:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000709
127.0.0.1, 2014-08-20 12:29:31, GET, /welcome/default/, HTTP/1.1, 200, 0.011078
127.0.0.1, 2014-08-20 12:29:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2014-08-20 12:29:33, GET, /welcome/default/, HTTP/1.1, 200, 0.007982
127.0.0.1, 2014-08-20 12:29:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000250
127.0.0.1, 2014-08-20 12:29:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
127.0.0.1, 2014-08-20 12:29:35, GET, /welcome/default/, HTTP/1.1, 200, 0.012290
127.0.0.1, 2014-08-20 12:29:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2014-08-20 12:29:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2014-08-20 12:29:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2014-08-20 12:30:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2014-08-20 12:31:14, GET, /welcome/default/, HTTP/1.1, 200, 0.030121
127.0.0.1, 2014-08-20 12:31:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000786
127.0.0.1, 2014-08-20 12:47:06, GET, /, HTTP/1.1, 303, 2.265646
127.0.0.1, 2014-08-20 12:47:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.108973
127.0.0.1, 2014-08-20 12:47:07, GET, /welcome/static/js/jq/jquery1.11.1.min.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2014-08-20 12:47:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2014-08-20 12:47:16, GET, /welcome/default/index, HTTP/1.1, 200, 0.013616
127.0.0.1, 2014-08-20 12:47:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2014-08-20 12:47:18, GET, /favicon.ico, HTTP/1.1, 400, 0.001102
127.0.0.1, 2014-08-20 12:47:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.012098
127.0.0.1, 2014-08-20 12:47:29, GET, /welcome/static/js/jq/jquery1.11.1.min.js, HTTP/1.1, 304, 0.000437
127.0.0.1, 2014-08-20 12:47:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2014-08-20 12:47:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.010789
127.0.0.1, 2014-08-20 12:47:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2014-08-20 12:47:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.009174
127.0.0.1, 2014-08-20 12:47:34, GET, /welcome/static/js/jq/jquery1.11.1.min.js, HTTP/1.1, 304, 0.000265
127.0.0.1, 2014-08-20 12:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000523
127.0.0.1, 2014-08-22 09:48:47, GET, /, HTTP/1.1, 303, 0.002330
127.0.0.1, 2014-08-22 09:48:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.202727
127.0.0.1, 2014-08-22 09:48:47, GET, /welcome/static/js/jq/jquery1.11.1.min.js, HTTP/1.1, 304, 0.000374
127.0.0.1, 2014-08-22 09:48:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000632
127.0.0.1, 2014-08-22 09:48:51, GET, /l, HTTP/1.1, 303, 0.060454
127.0.0.1, 2014-08-22 09:48:51, GET, /l/default/user/login, HTTP/1.1, 200, 0.028057
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001279
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/jquery.js, HTTP/1.1, 200, 0.000892
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/calendar.js, HTTP/1.1, 200, 0.001618
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/css/web2py.css, HTTP/1.1, 200, 0.000773
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/css/calendar.css, HTTP/1.1, 200, 0.002275
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000447
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/web2py.js, HTTP/1.1, 200, 0.002793
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001520
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001491
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2014-08-22 09:48:51, GET, /l/static/images/favicon.ico, HTTP/1.1, 200, 0.000449
127.0.0.1, 2014-08-22 09:49:08, POST, /l/default/user/login, HTTP/1.1, 303, 0.027093
127.0.0.1, 2014-08-22 09:49:08, GET, /l/default/index, HTTP/1.1, 200, 0.023724
127.0.0.1, 2014-08-22 09:49:09, GET, /l/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000520
127.0.0.1, 2014-08-22 09:49:24, GET, /l/static/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000943
127.0.0.1, 2014-08-22 09:50:57, GET, /l/default/index, HTTP/1.1, 200, 0.023895
127.0.0.1, 2014-08-22 09:51:24, GET, /l/default/online_this_week, HTTP/1.1, 200, 0.059810
127.0.0.1, 2014-08-22 09:51:26, GET, /l/default/online_next_week, HTTP/1.1, 200, 0.027387
127.0.0.1, 2014-08-22 09:54:13, GET, /l/default/index, HTTP/1.1, 200, 0.059362
127.0.0.1, 2014-08-22 09:54:14, GET, /l/default/online_this_week, HTTP/1.1, 200, 0.035351
127.0.0.1, 2014-08-22 09:54:16, GET, /l/default/online_next_week, HTTP/1.1, 200, 0.034288
127.0.0.1, 2014-08-22 09:54:17, GET, /l/default/online_this_week, HTTP/1.1, 200, 0.026506
127.0.0.1, 2014-08-22 09:54:18, GET, /l/default/index, HTTP/1.1, 200, 0.037396
127.0.0.1, 2014-08-22 10:03:37, GET, /l/default/index, HTTP/1.1, 200, 0.038829
127.0.0.1, 2014-08-22 10:04:41, GET, /l/default/index, HTTP/1.1, 200, 0.036646
127.0.0.1, 2014-08-22 10:06:47, GET, /l/, HTTP/1.1, 200, 0.036134
127.0.0.1, 2014-08-22 10:07:46, GET, /l/, HTTP/1.1, 200, 0.027110
127.0.0.1, 2014-08-22 10:07:48, GET, /l/default/edit_lesson, HTTP/1.1, 200, 0.032029
127.0.0.1, 2014-08-22 10:07:55, GET, /l/, HTTP/1.1, 200, 0.036212
127.0.0.1, 2014-08-22 10:08:02, GET, /l/default/index, HTTP/1.1, 200, 0.028768
127.0.0.1, 2014-08-22 10:08:04, GET, /l/default/edit_lesson, HTTP/1.1, 200, 0.029431
127.0.0.1, 2014-08-22 10:12:09, GET, /l/default/index, HTTP/1.1, 200, 0.046336
127.0.0.1, 2014-08-22 10:12:11, GET, /l/default/add_new, HTTP/1.1, 500, 0.115221
127.0.0.1, 2014-08-22 10:12:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000300
127.0.0.1, 2014-08-22 10:12:17, GET, /admin/default/ticket/l/127.0.0.1.2014-08-22.10-12-11.5c05a087-a15a-4ee9-a443-b26596431e8b, HTTP/1.1, 303, 0.099707
